Object;Deutsch;English;Spanish;Portuguese;French
categoryDeletedMessage;Die Kategorie (%s) wurde erfolgreich gelöscht.;The Category (%s) got successfully deleted.; La categoría (%s) fue eliminada con éxito.; A categoria (%s) foi eliminada com sucesso.; La catégorie (%s) a été supprimée avec succès.
categoryDeleted;Kategorie gelöscht;Category deleted; Categoría eliminada; Categoria eliminada; Catégorie supprimée
categoryEditedMessage;Der Kategorie (%s) wurde erfolgreich bearbeitet.;The Category (%s) got successfully edited.; La categoría (%s) fue editada con éxito.; A categoria (%s) foi editada com sucesso.; La catégorie (%s) a été éditée avec succès.
categoryEdited;Kategorie bearbeitet;Category edited; Categoría editada; Categoria editada; Catégorie éditée
noCategoryWithNameError;Es existiert keine Kategorie mit diesem Namen.;There is no Category with the given name.; No hay categoría con este nombre.; Não existe nenhuma categoria com este nome.; Il n'existe pas de catégorie avec ce nom.
noCategoryBoxError;Kategorie nicht vorhanden.;Category does not exists; No hay categoría; Não existe nenhuma categoria; La catégorie n'existe pas
noCategoryInIndexcardboxError;Der Karteikasten enthält keine Kategorien;The Indexcardbox does not contain any categories.; La caja de Fichas no contiene categorías; A caixa de cartões de índice não contém categorias; La boîte de fiches ne contient pas de catégories
noCategoryInIndexcardbox;Karteikasten leer;Empty Indexcardbox; Caja de Fichas vacía; Caixa de cartões de índice vazia; Boîte de fiches vide
categoryWithNoNameError;Die Kategorie muss einen Namen haben.;The Category must have a name; La categoría debe tener un nombre; A categoria deve ter um nome; La catégorie doit avoir un nom
categoryWithNoName;Kein Name eingegeben;No name entered; No se ha introducido un nombre; Nenhum nome inserido; Aucun nom entré
hierarchy;Hierachie;Hierarchy; Jerarquía; Hierarquia; Hiérarchie
noCategoryToEditError;Kategorie zum bearbeiten existiert nicht!;Category to edit does not exist; La categoría a editar no existe; A categoria a editar não existe; La catégorie à éditer n'existe pas
removeFilter;Filter entfernen;Remove filter; Eliminar filtro; Remover filtro; Supprimer le filtre
reverseSort;Sortierung umkehren;Reverse Sorting; Invertir orden; Reverter ordenação; Inverser le tri
selectCategory;Wählen Sie ein Kategorie aus;Select a Category; Seleccione una categoría; Selecione uma categoria; Sélectionnez une catégorie
selectKeyword;Wählen Sie eine Schlagwort aus;Select a Keyword; Seleccione una palabra clave; Selecione uma palavra-chave; Sélectionnez un mot-clé
filter;Filtern;Filter; Filtrar; Filtrar; Filtrer
searchForName;Suche nach Namen;Search for name; Buscar por nombre; Procurar por nome; Rechercher par nom
learn;Lernen;Learn; Aprender; Aprender; Apprendre
learnSystem;Lernsystem;Learn system; Sistema de aprendizaje; Sistema de aprendizagem; Système d'apprentissage
noIndexcardBoxExistsError;Es existiert kein Karteikasten.;There is no Indexcardbox.; No hay caja de Fichas; Não existe nenhuma caixa de cartões de índice; Il n'existe pas de boîte de fiches.
noIndexcardBoxExists;Kein Karteikasten vorhanden;No Indexcardbox exists; No hay caja de Fichas; Não existe nenhuma caixa de cartões de índice; Il n'existe pas de boîte de fiches.
selectOneIndexcardBoxMessage;Wählen Sie einen Karteikasten aus;Select one Indexcardbox.; Seleccione una caja de Fichas; Selecione uma caixa de cartões de índice; Sélectionnez une boîte de fiches
selectOneIndexcardBox;Keinen oder zu viele Karteikästen ausgewählt.;No or too many Indexcardboxes selected.; No se ha seleccionado ninguna o demasiadas cajas de Fichas; Nenhuma ou muitas caixas de cartões de índice selecionadas; Aucune ou trop de boîtes de fiches sélectionnées
selectLearnSystemMessage;Wählen Sie ein Lernsystem aus;Select a learn system.; Seleccione un sistema de aprendizaje; Selecione um sistema de aprendizagem; Sélectionnez un système d'apprentissage
selectLearnSystem;Lernsystem nicht verfügbar;Learn system not available; Sistema de aprendizaje no disponible; Sistema de aprendizagem não disponível; Système d'apprentissage non disponible
language;Sprache;Language; Idioma; Idioma; Langue
linkedIndexcardsList;Verknüpfte Karteikarten;Linked Indexcards; Fichas vinculadas; Cartões de índice vinculados; Fiches liées
nameAndBox;Name: %s Box: %d;Name: %s Box: %d; Nombre: %s Caja: %d; Nome: %s Caixa: %d; Nom: %s Boîte: %d
sorryMessage;Entschuldigung.;Sorry.; Lo siento.; Desculpe.; Désolé.
linkedIndexcardsList;Verknüpfte Karteikarten;Linked Indexcards; Fichas vinculadas; Cartões de índice vinculados; Fiches liées
boxEnded;%s beendet;%s ended; Caja %s terminada; Caixa %s terminada; Boîte %s terminée
boxEndedMessage; %s wurde erfolgreich beendet.; %s ended successfully.; %s terminó con éxito.; %s terminou com sucesso.; %s s'est terminée avec succès.
boxEmpty;Box %s ist leer;Box %s is empty; Caja %s está vacía; Caixa %s está vazia; Boîte %s est vide
boxEmptyMessage; %s ist leer.; %s is empty.; %s está vacía.; %s está vazia.; %s est vide.
random;Zufällig;Random; Aleatorio; Aleatório; Aléatoire
alphabetical;Alphabetisch;Alphabetical; Alfabético; Alfabético; Alphabetique
boxEmptyMessage; %s ist leer.; %s is empty.; %s está vacía.; %s está vazia.; %s est vide.
selectBoxError;Keine Box ausgewählt.;No box selected.; No se ha seleccionado ninguna caja.; Nenhuma caixa selecionada.; Aucune boîte sélectionnée.
selectSortError;Keine Sortierung ausgewählt.;No sorting selected.; No se ha seleccionado ningún orden.; Nenhuma ordenação selecionada.; Aucun tri sélectionné.
selectMethod; Bitte wählen sie eine Methode aus!; Please select a method!;¡Seleccione un método!; Selecione um método!; Veuillez sélectionner une méthode !
learningConfiguration;Lernkonfiguration;Learning configuration; Configuración de aprendizaje; Configuração de aprendizagem; Configuration d'apprentissage
firstBox;Box 1; Box 1; Caja 1; Caixa 1; Boîte 1
leitner;Leitner;Leitner; Leitner; Leitner; Leitner
sort;Sortierung;Sorting; Orden; Ordenação; Tri
box; Box; Box; Caja; Caixa; Boîte
